Provincias;Existe o no separación previa;Periodo;Total
46 Valencia/València;No;2018;5.898
46 Valencia/València;No;2017;5.778
46 Valencia/València;No;2016;5.919
46 Valencia/València;No;2015;5.386
46 Valencia/València;No;2014;5.799
46 Valencia/València;No;2013;5.910
47 Valladolid;Si;2019;61
47 Valladolid;Si;2018;69
47 Valladolid;Si;2017;65
47 Valladolid;Si;2016;76
47 Valladolid;Si;2015;73
47 Valladolid;Si;2014;86
47 Valladolid;Si;2013;124
47 Valladolid;No;2019;1.094
47 Valladolid;No;2018;964
47 Valladolid;No;2017;871
47 Valladolid;No;2016;877
47 Valladolid;No;2015;825
47 Valladolid;No;2014;875
47 Valladolid;No;2013;821
49 Zamora;Si;2019;22
49 Zamora;Si;2018;22
49 Zamora;Si;2017;4
49 Zamora;Si;2016;23
49 Zamora;Si;2015;20
49 Zamora;Si;2014;21
49 Zamora;Si;2013;23
49 Zamora;No;2019;215
49 Zamora;No;2018;217
49 Zamora;No;2017;230
49 Zamora;No;2016;223
49 Zamora;No;2015;222
49 Zamora;No;2014;236
49 Zamora;No;2013;209
50 Zaragoza;Si;2019;114
50 Zaragoza;Si;2018;153
50 Zaragoza;Si;2017;147
50 Zaragoza;Si;2016;149
50 Zaragoza;Si;2015;216
50 Zaragoza;Si;2014;183
50 Zaragoza;Si;2013;152
50 Zaragoza;No;2019;1.367
50 Zaragoza;No;2018;1.816
50 Zaragoza;No;2017;1.596
50 Zaragoza;No;2016;1.655
50 Zaragoza;No;2015;1.923
50 Zaragoza;No;2014;1.555
50 Zaragoza;No;2013;1.437
51 Ceuta;Si;2019;12
51 Ceuta;Si;2018;18
51 Ceuta;Si;2017;0
51 Ceuta;Si;2016;25
51 Ceuta;Si;2015;..
51 Ceuta;Si;2014;21
51 Ceuta;Si;2013;23
51 Ceuta;No;2019;129
51 Ceuta;No;2018;182
51 Ceuta;No;2017;212
51 Ceuta;No;2016;190
51 Ceuta;No;2015;..
51 Ceuta;No;2014;189
51 Ceuta;No;2013;196
52 Melilla;Si;2019;9
52 Melilla;Si;2018;18
52 Melilla;Si;2017;15
52 Melilla;Si;2016;14
52 Melilla;Si;2015;14
52 Melilla;Si;2014;33
52 Melilla;Si;2013;26
52 Melilla;No;2019;88
52 Melilla;No;2018;143
52 Melilla;No;2017;157
52 Melilla;No;2016;157
52 Melilla;No;2015;176
52 Melilla;No;2014;142
52 Melilla;No;2013;155
